Compiled from "CoordinatorEnvironmentBeanMBean.java"
public interface com.arjuna.ats.arjuna.common.CoordinatorEnvironmentBeanMBean {
  public abstract boolean isAsyncCommit();

  public abstract boolean isAsyncPrepare();

  public abstract boolean isAsyncRollback();

  public abstract boolean isCommitOnePhase();

  public abstract boolean isMaintainHeuristics();

  public abstract boolean isWriteOptimisation();

  public abstract boolean isReadonlyOptimisation();

  public abstract boolean isClassicPrepare();

  public abstract boolean isEnableStatistics();

  public abstract void setEnableStatistics(boolean);

  public abstract boolean isSharedTransactionLog();

  public abstract boolean isStartDisabled();

  public abstract java.lang.String getTxReaperMode();

  public abstract long getTxReaperTimeout();

  public abstract long getTxReaperCancelWaitPeriod();

  public abstract long getTxReaperCancelFailWaitPeriod();

  public abstract int getTxReaperZombieMax();

  public abstract int getDefaultTimeout();

  public abstract boolean isTransactionStatusManagerEnable();

  public abstract boolean isBeforeCompletionWhenRollbackOnly();

  public abstract java.lang.String getCheckedActionFactoryClassName();

  public abstract java.lang.String getCommunicationStore();
}
