,mz.org.selv,selv-v3-fulfillment-extension,1.0.1,2021-04-02 08:07      3674,,https://repo1.maven.org/maven2/mz/org/selv/selv-v3-fulfillment-extension/1.0.1/selv-v3-fulfillment-extension-1.0.1.jar
,name.xwork,uxdf,4.0.4,2019-11-15 12:17    114539,,https://repo1.maven.org/maven2/name/xwork/uxdf/4.0.4/uxdf-4.0.4.jar
,name.wramner.util,HexDumpEncoder,1.0,2016-09-07 17:16      6266,,https://repo1.maven.org/maven2/name/wramner/util/HexDumpEncoder/1.0/HexDumpEncoder-1.0.jar
,name.wramner.log4j,FlushAppender,1.0,2015-02-24 20:13      5126,,https://repo1.maven.org/maven2/name/wramner/log4j/FlushAppender/1.0/FlushAppender-1.0.jar
,name.wramner.httpclient,HttpClient,1.1,2017-09-20 07:25     59377,,https://repo1.maven.org/maven2/name/wramner/httpclient/HttpClient/1.1/HttpClient-1.1.jar
,name.wramner.httpclient,HttpClient,1.0,2016-11-20 10:19     26150,,https://repo1.maven.org/maven2/name/wramner/httpclient/HttpClient/1.0/HttpClient-1.0.jar
,name.velikodniy.vitaliy,fixedlength,0.9,2023-10-01 07:02     27536,,https://repo1.maven.org/maven2/name/velikodniy/vitaliy/fixedlength/0.9/fixedlength-0.9.jar
,name.velikodniy.vitaliy,fixedlength,0.8,2023-02-16 20:47     27154,,https://repo1.maven.org/maven2/name/velikodniy/vitaliy/fixedlength/0.8/fixedlength-0.8.jar
,name.velikodniy.vitaliy,fixedlength,0.7,2022-03-04 08:51     27109,,https://repo1.maven.org/maven2/name/velikodniy/vitaliy/fixedlength/0.7/fixedlength-0.7.jar
,name.velikodniy.vitaliy,fixedlength,0.6,2021-09-16 05:59     23313,,https://repo1.maven.org/maven2/name/velikodniy/vitaliy/fixedlength/0.6/fixedlength-0.6.jar
,name.velikodniy.vitaliy,fixedlength,0.5,2021-09-15 09:37     22920,,https://repo1.maven.org/maven2/name/velikodniy/vitaliy/fixedlength/0.5/fixedlength-0.5.jar
,name.valery1707.validator,russian-requisites-validator,0.0.7,2017-08-08 14:59     32740,,https://repo1.maven.org/maven2/name/valery1707/validator/russian-requisites-validator/0.0.7/russian-requisites-validator-0.0.7.jar
,name.valery1707.validator,russian-requisites-validator,0.0.6,2017-08-08 10:08     27434,,https://repo1.maven.org/maven2/name/valery1707/validator/russian-requisites-validator/0.0.6/russian-requisites-validator-0.0.6.jar
,name.valery1707.validator,russian-requisites-validator,0.0.5,2017-07-25 13:40     27128,,https://repo1.maven.org/maven2/name/valery1707/validator/russian-requisites-validator/0.0.5/russian-requisites-validator-0.0.5.jar
,name.valery1707.validator,russian-requisites-validator,0.0.2,2017-07-18 13:47     16315,,https://repo1.maven.org/maven2/name/valery1707/validator/russian-requisites-validator/0.0.2/russian-requisites-validator-0.0.2.jar
,name.valery1707.validator,russian-requisites-validator,0.0.1,2017-07-17 09:30     11043,,https://repo1.maven.org/maven2/name/valery1707/validator/russian-requisites-validator/0.0.1/russian-requisites-validator-0.0.1.jar
,name.valery1707.smsc,smsc-mock,0.1.4,2018-02-02 11:01     16088,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-mock/0.1.4/smsc-mock-0.1.4.jar
,name.valery1707.smsc,smsc-mock,0.1.3,2018-02-02 09:53     16088,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-mock/0.1.3/smsc-mock-0.1.3.jar
,name.valery1707.smsc,smsc-json-jackson,0.1.4,2018-02-02 11:01      3008,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-json-jackson/0.1.4/smsc-json-jackson-0.1.4.jar
,name.valery1707.smsc,smsc-json-jackson,0.1.3,2018-02-02 09:53      3008,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-json-jackson/0.1.3/smsc-json-jackson-0.1.3.jar
,name.valery1707.smsc,smsc-json,0.1.4,2018-02-02 11:01      2320,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-json/0.1.4/smsc-json-0.1.4.jar
,name.valery1707.smsc,smsc-json,0.1.3,2018-02-02 09:53      2320,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-json/0.1.3/smsc-json-0.1.3.jar
,name.valery1707.smsc,smsc-http-ok-http,0.1.4,2018-02-02 11:01      3370,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-http-ok-http/0.1.4/smsc-http-ok-http-0.1.4.jar
,name.valery1707.smsc,smsc-http-ok-http,0.1.3,2018-02-02 09:53      3371,,https://repo1.maven.org/maven2/name/valery1707/smsc/smsc-http-ok-http/0.1.3/smsc-http-ok-http-0.1.3.jar
