,frl.driesprong,spark-stochastic-outlier-selection_2.11,0.1.0,2015-09-10 21:20     25769,,https://repo1.maven.org/maven2/frl/driesprong/spark-stochastic-outlier-selection_2.11/0.1.0/spark-stochastic-outlier-selection_2.11-0.1.0.jar
,aws.smithy.kotlin,utils-jvm,0.9.2,2022-05-19 16:53     52643,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.9.2/utils-jvm-0.9.2.jar
,aws.smithy.kotlin,utils-jvm,0.9.1,2022-05-13 18:08     52643,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.9.1/utils-jvm-0.9.1.jar
,aws.smithy.kotlin,utils-jvm,0.9.0,2022-04-29 17:38     51264,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.9.0/utils-jvm-0.9.0.jar
,aws.smithy.kotlin,utils-jvm,0.8.5,2022-04-21 19:48     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.5/utils-jvm-0.8.5.jar
,aws.smithy.kotlin,utils-jvm,0.8.4,2022-04-21 18:23     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.4/utils-jvm-0.8.4.jar
,aws.smithy.kotlin,utils-jvm,0.8.3,2022-04-14 18:18     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.3/utils-jvm-0.8.3.jar
,aws.smithy.kotlin,utils-jvm,0.8.2,2022-04-07 18:18     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.2/utils-jvm-0.8.2.jar
,aws.smithy.kotlin,utils-jvm,0.8.1,2022-03-31 20:38     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.1/utils-jvm-0.8.1.jar
,aws.smithy.kotlin,utils-jvm,0.8.0,2022-03-24 21:24     58262,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.8.0/utils-jvm-0.8.0.jar
,aws.smithy.kotlin,utils-jvm,0.7.8,2022-02-17 21:58     56718,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.8/utils-jvm-0.7.8.jar
,aws.smithy.kotlin,utils-jvm,0.7.7,2022-02-04 19:42     56710,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.7/utils-jvm-0.7.7.jar
,aws.smithy.kotlin,utils-jvm,0.7.6,2022-01-13 18:53     55637,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.6/utils-jvm-0.7.6.jar
,aws.smithy.kotlin,utils-jvm,0.7.5,2022-01-06 21:44     54919,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.5/utils-jvm-0.7.5.jar
,aws.smithy.kotlin,utils-jvm,0.7.4-beta,2021-12-09 21:03     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.4-beta/utils-jvm-0.7.4-beta.jar
,aws.smithy.kotlin,utils-jvm,0.7.3-beta,2021-12-02 05:32     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.3-beta/utils-jvm-0.7.3-beta.jar
,aws.smithy.kotlin,utils-jvm,0.7.2-alpha,2021-11-19 19:17     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.2-alpha/utils-jvm-0.7.2-alpha.jar
,aws.smithy.kotlin,utils-jvm,0.7.1-alpha,2021-11-04 19:46     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.1-alpha/utils-jvm-0.7.1-alpha.jar
,aws.smithy.kotlin,utils-jvm,0.7.0-alpha,2021-10-28 20:44     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.7.0-alpha/utils-jvm-0.7.0-alpha.jar
,aws.smithy.kotlin,utils-jvm,0.6.0-alpha,2021-10-21 21:03     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.6.0-alpha/utils-jvm-0.6.0-alpha.jar
,aws.smithy.kotlin,utils-jvm,0.5.1-alpha,2021-10-14 20:25     54032,,https://repo1.maven.org/maven2/aws/smithy/kotlin/utils-jvm/0.5.1-alpha/utils-jvm-0.5.1-alpha.jar
