,io.taig,taigless-validation-mapping_sjs1_2.12,0.1.7,2020-08-21 10:29      4843,https://mvnrepository.com/artifact/io.taig/taigless-validation-mapping_sjs1_2.12/0.1.7,https://repo1.maven.org/maven2/io/taig/taigless-validation-mapping_sjs1_2.12/0.1.7/taigless-validation-mapping_sjs1_2.12-0.1.7.jar
,de.androbit,nibbler-json,0.4,2014-12-11 20:26      4089,https://mvnrepository.com/artifact/de.androbit/nibbler-json/0.4,https://repo1.maven.org/maven2/de/androbit/nibbler-json/0.4/nibbler-json-0.4.jar
,org.n52.series.db,dialects,1.0.0-alpha.3,2019-03-05 14:07      6670,https://mvnrepository.com/artifact/org.n52.series.db/dialects/1.0.0-alpha.3,https://repo1.maven.org/maven2/org/n52/series/db/dialects/1.0.0-alpha.3/dialects-1.0.0-alpha.3.jar
,org.hibernate,hibernate-tools,3.2.3.GA,2008-08-06 15:13    351117,https://mvnrepository.com/artifact/org.hibernate/hibernate-tools/3.2.3.GA,https://repo1.maven.org/maven2/org/hibernate/hibernate-tools/3.2.3.GA/hibernate-tools-3.2.3.GA.jar
,org.wso2.carbon,org.wso2.carbon.ndatasource.core,4.4.27,2018-04-25 14:29     54171,https://mvnrepository.com/artifact/org.wso2.carbon/org.wso2.carbon.ndatasource.core/4.4.27,https://repo1.maven.org/maven2/org/wso2/carbon/org.wso2.carbon.ndatasource.core/4.4.27/org.wso2.carbon.ndatasource.core-4.4.27.jar
,org.ow2.petals.samples,su-jsr181-shipping,1.5.2-1.0.0,2016-09-21 14:29     12619,https://mvnrepository.com/artifact/org.ow2.petals.samples/su-jsr181-shipping/1.5.2-1.0.0,https://repo1.maven.org/maven2/org/ow2/petals/samples/su-jsr181-shipping/1.5.2-1.0.0/su-jsr181-shipping-1.5.2-1.0.0-tests.jar
,me.shadaj,slinky-web_sjs1_2.12,0.6.5+14-05e6e7ab,2020-05-30 22:25  31741826,https://mvnrepository.com/artifact/me.shadaj/slinky-web_sjs1_2.12/0.6.5+14-05e6e7ab,https://repo1.maven.org/maven2/me/shadaj/slinky-web_sjs1_2.12/0.6.5+14-05e6e7ab/slinky-web_sjs1_2.12-0.6.5+14-05e6e7ab.jar
,be.sysa.quartz-job-synchronizer,quartz-job-synchronizer,0.0.2,2023-08-06 14:30    120832,https://mvnrepository.com/artifact/be.sysa.quartz-job-synchronizer/quartz-job-synchronizer/0.0.2,https://repo1.maven.org/maven2/be/sysa/quartz-job-synchronizer/quartz-job-synchronizer/0.0.2/quartz-job-synchronizer-0.0.2.jar
,net.orbyfied.coldlib,coldlib-common-util,1.0.5,2023-05-06 14:23     33221,https://mvnrepository.com/artifact/net.orbyfied.coldlib/coldlib-common-util/1.0.5,https://repo1.maven.org/maven2/net/orbyfied/coldlib/coldlib-common-util/1.0.5/coldlib-common-util-1.0.5-all.jar
,de.theitshop,testcompose,0.0.1,2022-04-01 16:40     50431,https://mvnrepository.com/artifact/de.theitshop/testcompose/0.0.1,https://repo1.maven.org/maven2/de/theitshop/testcompose/0.0.1/testcompose-0.0.1.jar
,io.micronaut.aws,micronaut-function-aws-api-proxy-test,3.11.3,2023-04-11 10:04     27159,https://mvnrepository.com/artifact/io.micronaut.aws/micronaut-function-aws-api-proxy-test/3.11.3,https://repo1.maven.org/maven2/io/micronaut/aws/micronaut-function-aws-api-proxy-test/3.11.3/micronaut-function-aws-api-proxy-test-3.11.3.jar
,io.fabric8.apps,console,2.2.93,2015-12-16 15:03      5424,https://mvnrepository.com/artifact/io.fabric8.apps/console/2.2.93,https://repo1.maven.org/maven2/io/fabric8/apps/console/2.2.93/console-2.2.93.jar
,org.ow2.easybeans,easybeans-component-remotejndiresolver,2.0.0,2013-09-26 12:14     10883,https://mvnrepository.com/artifact/org.ow2.easybeans/easybeans-component-remotejndiresolver/2.0.0,https://repo1.maven.org/maven2/org/ow2/easybeans/easybeans-component-remotejndiresolver/2.0.0/easybeans-component-remotejndiresolver-2.0.0.jar
,io.zipkin.contrib.zipkin-storage-kafka,zipkin-module-storage-kafka,0.9.1,2020-11-15 03:32  17182201,https://mvnrepository.com/artifact/io.zipkin.contrib.zipkin-storage-kafka/zipkin-module-storage-kafka/0.9.1,https://repo1.maven.org/maven2/io/zipkin/contrib/zipkin-storage-kafka/zipkin-module-storage-kafka/0.9.1/zipkin-module-storage-kafka-0.9.1-module.jar
,io.micronaut,micronaut-router,3.5.4,2022-07-29 20:29    187129,https://mvnrepository.com/artifact/io.micronaut/micronaut-router/3.5.4,https://repo1.maven.org/maven2/io/micronaut/micronaut-router/3.5.4/micronaut-router-3.5.4-all.jar
,org.apereo.cas,cas-server-support-x509-core,6.0.1,2019-02-04 09:39     56688,https://mvnrepository.com/artifact/org.apereo.cas/cas-server-support-x509-core/6.0.1,https://repo1.maven.org/maven2/org/apereo/cas/cas-server-support-x509-core/6.0.1/cas-server-support-x509-core-6.0.1.jar
,io.fluidsonic.raptor,raptor-environment-jvm,0.17.3,2022-11-03 20:58      6432,https://mvnrepository.com/artifact/io.fluidsonic.raptor/raptor-environment-jvm/0.17.3,https://repo1.maven.org/maven2/io/fluidsonic/raptor/raptor-environment-jvm/0.17.3/raptor-environment-jvm-0.17.3.jar
