Compiled from "NumberMathModificationInfo.java"
public class org.codehaus.groovy.runtime.typehandling.NumberMathModificationInfo {
  public static final org.codehaus.groovy.runtime.typehandling.NumberMathModificationInfo instance;

  private static final java.util.HashSet<java.lang.String> NAMES;

  public boolean byte_plus;

  public boolean short_plus;

  public boolean int_plus;

  public boolean long_plus;

  public boolean float_plus;

  public boolean double_plus;

  public boolean byte_minus;

  public boolean short_minus;

  public boolean int_minus;

  public boolean long_minus;

  public boolean float_minus;

  public boolean double_minus;

  public boolean byte_multiply;

  public boolean short_multiply;

  public boolean int_multiply;

  public boolean long_multiply;

  public boolean float_multiply;

  public boolean double_multiply;

  public boolean byte_div;

  public boolean short_div;

  public boolean int_div;

  public boolean long_div;

  public boolean float_div;

  public boolean double_div;

  public boolean byte_or;

  public boolean short_or;

  public boolean int_or;

  public boolean long_or;

  public boolean float_or;

  public boolean double_or;

  public boolean byte_and;

  public boolean short_and;

  public boolean int_and;

  public boolean long_and;

  public boolean float_and;

  public boolean double_and;

  public boolean byte_xor;

  public boolean short_xor;

  public boolean int_xor;

  public boolean long_xor;

  public boolean float_xor;

  public boolean double_xor;

  public boolean byte_intdiv;

  public boolean short_intdiv;

  public boolean int_intdiv;

  public boolean long_intdiv;

  public boolean float_intdiv;

  public boolean double_intdiv;

  public boolean byte_mod;

  public boolean short_mod;

  public boolean int_mod;

  public boolean long_mod;

  public boolean float_mod;

  public boolean double_mod;

  public boolean byte_leftShift;

  public boolean short_leftShift;

  public boolean int_leftShift;

  public boolean long_leftShift;

  public boolean float_leftShift;

  public boolean double_leftShift;

  public boolean byte_rightShift;

  public boolean short_rightShift;

  public boolean int_rightShift;

  public boolean long_rightShift;

  public boolean float_rightShift;

  public boolean double_rightShift;

  public boolean byte_rightShiftUnsigned;

  public boolean short_rightShiftUnsigned;

  public boolean int_rightShiftUnsigned;

  public boolean long_rightShiftUnsigned;

  public boolean float_rightShiftUnsigned;

  public boolean double_rightShiftUnsigned;

  private org.codehaus.groovy.runtime.typehandling.NumberMathModificationInfo();
    Code:
       0: aload_0
       1: invokespecial #87                 // Method java/lang/Object."<init>":()V
       4: return

  public void checkIfStdMethod(groovy.lang.MetaMethod);
    Code:
       0: aload_1
       1: invokevirtual #94                 // Method java/lang/Object.getClass:()Ljava/lang/Class;
       4: ldc           #96                 // class org/codehaus/groovy/runtime/metaclass/NewInstanceMetaMethod
       6: if_acmpeq     74
       9: aload_1
      10: invokevirtual #102                // Method groovy/lang/MetaMethod.getName:()Ljava/lang/String;
      13: astore_2
      14: aload_1
      15: invokevirtual #106                // Method groovy/lang/MetaMethod.getParameterTypes:()[Lorg/codehaus/groovy/reflection/CachedClass;
      18: arraylength
      19: iconst_1
      20: if_icmpeq     24
      23: return
      24: aload_1
      25: invokevirtual #106                // Method groovy/lang/MetaMethod.getParameterTypes:()[Lorg/codehaus/groovy/reflection/CachedClass;
      28: iconst_0
      29: aaload
      30: getfield      #113                // Field org/codehaus/groovy/reflection/CachedClass.isNumber:Z
      33: ifne          51
      36: aload_1
      37: invokevirtual #106                // Method groovy/lang/MetaMethod.getParameterTypes:()[Lorg/codehaus/groovy/reflection/CachedClass;
      40: iconst_0
      41: aaload
      42: invokevirtual #116                // Method org/codehaus/groovy/reflection/CachedClass.getTheClass:()Ljava/lang/Class;
      45: ldc           #4                  // class java/lang/Object
      47: if_acmpeq     51
      50: return
      51: getstatic     #118                // Field NAMES:Ljava/util/HashSet;
      54: aload_2
      55: invokevirtual #124                // Method java/util/HashSet.contains:(Ljava/lang/Object;)Z
      58: ifne          62
      61: return
      62: aload_0
      63: aload_2
      64: aload_1
      65: invokevirtual #128                // Method groovy/lang/MetaMethod.getDeclaringClass:()Lorg/codehaus/groovy/reflection/CachedClass;
      68: invokevirtual #116                // Method org/codehaus/groovy/reflection/CachedClass.getTheClass:()Ljava/lang/Class;
      71: invokespecial #132                // Method checkNumberOps:(Ljava/lang/String;Ljava/lang/Class;)V
      74: return

  private void checkNumberOps(java.lang.String, java.lang.Class);
    Code:
       0: ldc           #138                // String plus
       2: aload_1
       3: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
       6: ifeq          111
       9: aload_2
      10: ldc           #143                // class java/lang/Byte
      12: if_acmpne     20
      15: aload_0
      16: iconst_1
      17: putfield      #145                // Field byte_plus:Z
      20: aload_2
      21: ldc           #147                // class java/lang/Short
      23: if_acmpne     31
      26: aload_0
      27: iconst_1
      28: putfield      #149                // Field short_plus:Z
      31: aload_2
      32: ldc           #151                // class java/lang/Integer
      34: if_acmpne     42
      37: aload_0
      38: iconst_1
      39: putfield      #153                // Field int_plus:Z
      42: aload_2
      43: ldc           #155                // class java/lang/Long
      45: if_acmpne     53
      48: aload_0
      49: iconst_1
      50: putfield      #157                // Field long_plus:Z
      53: aload_2
      54: ldc           #159                // class java/lang/Float
      56: if_acmpne     64
      59: aload_0
      60: iconst_1
      61: putfield      #161                // Field float_plus:Z
      64: aload_2
      65: ldc           #163                // class java/lang/Double
      67: if_acmpne     75
      70: aload_0
      71: iconst_1
      72: putfield      #165                // Field double_plus:Z
      75: aload_2
      76: ldc           #4                  // class java/lang/Object
      78: if_acmpne     111
      81: aload_0
      82: iconst_1
      83: putfield      #145                // Field byte_plus:Z
      86: aload_0
      87: iconst_1
      88: putfield      #149                // Field short_plus:Z
      91: aload_0
      92: iconst_1
      93: putfield      #153                // Field int_plus:Z
      96: aload_0
      97: iconst_1
      98: putfield      #157                // Field long_plus:Z
     101: aload_0
     102: iconst_1
     103: putfield      #161                // Field float_plus:Z
     106: aload_0
     107: iconst_1
     108: putfield      #165                // Field double_plus:Z
     111: ldc           #167                // String minus
     113: aload_1
     114: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     117: ifeq          222
     120: aload_2
     121: ldc           #143                // class java/lang/Byte
     123: if_acmpne     131
     126: aload_0
     127: iconst_1
     128: putfield      #169                // Field byte_minus:Z
     131: aload_2
     132: ldc           #147                // class java/lang/Short
     134: if_acmpne     142
     137: aload_0
     138: iconst_1
     139: putfield      #171                // Field short_minus:Z
     142: aload_2
     143: ldc           #151                // class java/lang/Integer
     145: if_acmpne     153
     148: aload_0
     149: iconst_1
     150: putfield      #173                // Field int_minus:Z
     153: aload_2
     154: ldc           #155                // class java/lang/Long
     156: if_acmpne     164
     159: aload_0
     160: iconst_1
     161: putfield      #175                // Field long_minus:Z
     164: aload_2
     165: ldc           #159                // class java/lang/Float
     167: if_acmpne     175
     170: aload_0
     171: iconst_1
     172: putfield      #177                // Field float_minus:Z
     175: aload_2
     176: ldc           #163                // class java/lang/Double
     178: if_acmpne     186
     181: aload_0
     182: iconst_1
     183: putfield      #179                // Field double_minus:Z
     186: aload_2
     187: ldc           #4                  // class java/lang/Object
     189: if_acmpne     222
     192: aload_0
     193: iconst_1
     194: putfield      #169                // Field byte_minus:Z
     197: aload_0
     198: iconst_1
     199: putfield      #171                // Field short_minus:Z
     202: aload_0
     203: iconst_1
     204: putfield      #173                // Field int_minus:Z
     207: aload_0
     208: iconst_1
     209: putfield      #175                // Field long_minus:Z
     212: aload_0
     213: iconst_1
     214: putfield      #177                // Field float_minus:Z
     217: aload_0
     218: iconst_1
     219: putfield      #179                // Field double_minus:Z
     222: ldc           #181                // String multiply
     224: aload_1
     225: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     228: ifeq          333
     231: aload_2
     232: ldc           #143                // class java/lang/Byte
     234: if_acmpne     242
     237: aload_0
     238: iconst_1
     239: putfield      #183                // Field byte_multiply:Z
     242: aload_2
     243: ldc           #147                // class java/lang/Short
     245: if_acmpne     253
     248: aload_0
     249: iconst_1
     250: putfield      #185                // Field short_multiply:Z
     253: aload_2
     254: ldc           #151                // class java/lang/Integer
     256: if_acmpne     264
     259: aload_0
     260: iconst_1
     261: putfield      #187                // Field int_multiply:Z
     264: aload_2
     265: ldc           #155                // class java/lang/Long
     267: if_acmpne     275
     270: aload_0
     271: iconst_1
     272: putfield      #189                // Field long_multiply:Z
     275: aload_2
     276: ldc           #159                // class java/lang/Float
     278: if_acmpne     286
     281: aload_0
     282: iconst_1
     283: putfield      #191                // Field float_multiply:Z
     286: aload_2
     287: ldc           #163                // class java/lang/Double
     289: if_acmpne     297
     292: aload_0
     293: iconst_1
     294: putfield      #193                // Field double_multiply:Z
     297: aload_2
     298: ldc           #4                  // class java/lang/Object
     300: if_acmpne     333
     303: aload_0
     304: iconst_1
     305: putfield      #183                // Field byte_multiply:Z
     308: aload_0
     309: iconst_1
     310: putfield      #185                // Field short_multiply:Z
     313: aload_0
     314: iconst_1
     315: putfield      #187                // Field int_multiply:Z
     318: aload_0
     319: iconst_1
     320: putfield      #189                // Field long_multiply:Z
     323: aload_0
     324: iconst_1
     325: putfield      #191                // Field float_multiply:Z
     328: aload_0
     329: iconst_1
     330: putfield      #193                // Field double_multiply:Z
     333: ldc           #195                // String div
     335: aload_1
     336: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     339: ifeq          444
     342: aload_2
     343: ldc           #143                // class java/lang/Byte
     345: if_acmpne     353
     348: aload_0
     349: iconst_1
     350: putfield      #197                // Field byte_div:Z
     353: aload_2
     354: ldc           #147                // class java/lang/Short
     356: if_acmpne     364
     359: aload_0
     360: iconst_1
     361: putfield      #199                // Field short_div:Z
     364: aload_2
     365: ldc           #151                // class java/lang/Integer
     367: if_acmpne     375
     370: aload_0
     371: iconst_1
     372: putfield      #201                // Field int_div:Z
     375: aload_2
     376: ldc           #155                // class java/lang/Long
     378: if_acmpne     386
     381: aload_0
     382: iconst_1
     383: putfield      #203                // Field long_div:Z
     386: aload_2
     387: ldc           #159                // class java/lang/Float
     389: if_acmpne     397
     392: aload_0
     393: iconst_1
     394: putfield      #205                // Field float_div:Z
     397: aload_2
     398: ldc           #163                // class java/lang/Double
     400: if_acmpne     408
     403: aload_0
     404: iconst_1
     405: putfield      #207                // Field double_div:Z
     408: aload_2
     409: ldc           #4                  // class java/lang/Object
     411: if_acmpne     444
     414: aload_0
     415: iconst_1
     416: putfield      #197                // Field byte_div:Z
     419: aload_0
     420: iconst_1
     421: putfield      #199                // Field short_div:Z
     424: aload_0
     425: iconst_1
     426: putfield      #201                // Field int_div:Z
     429: aload_0
     430: iconst_1
     431: putfield      #203                // Field long_div:Z
     434: aload_0
     435: iconst_1
     436: putfield      #205                // Field float_div:Z
     439: aload_0
     440: iconst_1
     441: putfield      #207                // Field double_div:Z
     444: ldc           #209                // String or
     446: aload_1
     447: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     450: ifeq          555
     453: aload_2
     454: ldc           #143                // class java/lang/Byte
     456: if_acmpne     464
     459: aload_0
     460: iconst_1
     461: putfield      #211                // Field byte_or:Z
     464: aload_2
     465: ldc           #147                // class java/lang/Short
     467: if_acmpne     475
     470: aload_0
     471: iconst_1
     472: putfield      #213                // Field short_or:Z
     475: aload_2
     476: ldc           #151                // class java/lang/Integer
     478: if_acmpne     486
     481: aload_0
     482: iconst_1
     483: putfield      #215                // Field int_or:Z
     486: aload_2
     487: ldc           #155                // class java/lang/Long
     489: if_acmpne     497
     492: aload_0
     493: iconst_1
     494: putfield      #217                // Field long_or:Z
     497: aload_2
     498: ldc           #159                // class java/lang/Float
     500: if_acmpne     508
     503: aload_0
     504: iconst_1
     505: putfield      #219                // Field float_or:Z
     508: aload_2
     509: ldc           #163                // class java/lang/Double
     511: if_acmpne     519
     514: aload_0
     515: iconst_1
     516: putfield      #221                // Field double_or:Z
     519: aload_2
     520: ldc           #4                  // class java/lang/Object
     522: if_acmpne     555
     525: aload_0
     526: iconst_1
     527: putfield      #211                // Field byte_or:Z
     530: aload_0
     531: iconst_1
     532: putfield      #213                // Field short_or:Z
     535: aload_0
     536: iconst_1
     537: putfield      #215                // Field int_or:Z
     540: aload_0
     541: iconst_1
     542: putfield      #217                // Field long_or:Z
     545: aload_0
     546: iconst_1
     547: putfield      #219                // Field float_or:Z
     550: aload_0
     551: iconst_1
     552: putfield      #221                // Field double_or:Z
     555: ldc           #223                // String and
     557: aload_1
     558: invokevirtual #141                // Method java/lang/String.equals:(Ljava/lang/Object;)Z
     561: ifeq          666
     564: aload_2
     565: ldc           #143                // class java/lang/Byte
     567: if_acmpne     575
     570: aload_0
